GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LDH-FINAL,test.java,GrafoTest,0,127,0,0,0,22,0,3,0,3
LDH-FINAL,test.java,MetGraspTest,0,202,0,0,0,44,0,3,0,3
LDH-FINAL,test.java,ArestaTest,0,105,0,0,0,19,0,3,0,3
LDH-FINAL,test.java,MetVNDTest,0,105,0,0,0,21,0,2,0,2
LDH-FINAL,test.java,MainTest,0,213,0,0,0,46,0,7,0,7
LDH-FINAL,test.java,ReaderTest,0,17,0,0,0,6,0,2,0,2
LDH-FINAL,main.java,MetGrasp,18,359,0,16,5,77,0,17,0,9
LDH-FINAL,main.java,Reader,16,144,0,8,4,30,0,9,0,5
LDH-FINAL,main.java,Main,35,42,1,3,12,10,3,6,2,5
LDH-FINAL,main.java,Aresta,0,29,0,0,0,12,0,6,0,6
LDH-FINAL,main.java,MetGrasp.new Comparator() {...},0,14,0,0,0,2,0,2,0,2
LDH-FINAL,main.java,MetVND,17,239,3,21,6,52,3,17,0,8
LDH-FINAL,main.java,Vertice,4,9,0,0,2,4,1,2,1,2
LDH-FINAL,main.java,Grafo,7,70,2,12,3,16,3,10,1,5
